Year,Month Number,Month,Utility,Owner,Units,Usage
2019,2,Feb,Electricity,Commission,kWh,12106357.3
2019,2,Feb,Electricity,Tenant,kWh,11174702.4
2019,2,Feb,Water,Commission,Million Gallons,16.864408
2019,2,Feb,Water,Tenant,Million Gallons,13.820048
2019,3,Mar,Passengers,Campus,PAX,4602873
2019,3,Mar,Gas,Commission,Therms,279471.1839
2019,3,Mar,Gas,Tenant,Therms,70355.76399
2019,3,Mar,Electricity,Commission,kWh,13436346.8
2019,3,Mar,Electricity,Tenant,kWh,12448069.1
2019,3,Mar,Water,Commission,Million Gallons,18.048492
2019,3,Mar,Water,Tenant,Million Gallons,14.520924
2019,4,Apr,Passengers,Campus,PAX,4697790
2019,4,Apr,Gas,Commission,Therms,241930.2382
2019,4,Apr,Gas,Tenant,Therms,50665.30019
2019,4,Apr,Electricity,Commission,kWh,13164181
2019,4,Apr,Electricity,Tenant,kWh,12130339.9
2019,4,Apr,Water,Commission,Million Gallons,19.950656
2019,4,Apr,Water,Tenant,Million Gallons,15.92492
2019,5,May,Passengers,Campus,PAX,5013085
2019,5,May,Gas,Commission,Therms,275100.4009
2019,5,May,Gas,Tenant,Therms,37178.226
2019,5,May,Electricity,Commission,kWh,13694826.5
2019,5,May,Electricity,Tenant,kWh,12440095
2019,5,May,Water,Commission,Million Gallons,20.34186
2019,5,May,Water,Tenant,Million Gallons,14.884452
2019,6,Jun,Passengers,Campus,PAX,5471861
2019,6,Jun,Gas,Commission,Therms,171297.9568
2019,6,Jun,Gas,Tenant,Therms,65181.47186
2019,6,Jun,Electricity,Commission,kWh,14486051.7
2019,6,Jun,Electricity,Tenant,kWh,11925845.5
2019,6,Jun,Water,Commission,Million Gallons,24.013044
2019,6,Jun,Water,Tenant,Million Gallons,14.609936
2019,7,Jul,Passengers,Campus,PAX,5620160
2019,7,Jul,Gas,Commission,Therms,180376.7288
2019,7,Jul,Gas,Tenant,Therms,58484.77628
2019,7,Jul,Electricity,Commission,kWh,14688195.1
2019,7,Jul,Electricity,Tenant,kWh,12581588.4
2019,7,Jul,Water,Commission,Million Gallons,25.39086
2019,7,Jul,Water,Tenant,Million Gallons,17.347616
2019,8,Aug,Passengers,Campus,PAX,5750758
2019,8,Aug,Gas,Commission,Therms,5976.435975
2019,8,Aug,Gas,Tenant,Therms,6160.002394
2019,8,Aug,Electricity,Commission,kWh,15639474.5
2019,8,Aug,Electricity,Tenant,kWh,12512092.6
2019,8,Aug,Water,Commission,Million Gallons,27.670764
2019,8,Aug,Water,Tenant,Million Gallons,15.12082
